"email","start_date","address","region","phone_number","end_date"
"pervis31@gmail.com","3/12/13","7103 Riverside DR,Grayson,GA,30017","south","(770)684-7019","5/6/13"
"magdeline.hanstad@aol.com","8/23/14","3103 Buckingham DR,Hidalgo,,78557","southwest","(956)495-5471",""
"sharmon76@gmail.com","5/26/14","691 South Street,Reston,VA,20190","south","(703)267-8853",""
"mcclarney84@hotmail.com","12/17/16","2722 Olive Street,Bell Gardens,CA,90201","west","(310)501-3885",""
"callaham62@hotmail.com","3/1/16","79796 Grant AVE,Denver,CO,80231","southwest","(303)604-4683",""
"rosalinda.shriver@yahoo.com","1/18/12","5251 3rd Street APT C,Burlington,WI,53105","midwest","(262)341-5435",""
"abhishek.gailliard30@mac.com","5/14/13","647 Elizabeth Street,Smyrna,TN,37167","south","(931)319-9755",""
"cyndee77@yahoo.com","11/24/14","3900 Cedar Street,Albuquerque,NM,87111","southwest","(505)281-8070",""
"dautruche49@hotmail.com","11/26/16","2149 Clinton Street,Attica,IN,47918","midwest","(765)928-6829","5/13/16"
"seech59@att.net","10/26/16","5055 Clark Street,Manchester,NH,03102","northest","(603)315-8529",""
"frosprim68@att.net","","","","",""
"rooney41@aol.com","10/24/14","273 Primrose Lane,Roswell,NM,88203","southwest","(505)604-4486",""
"dytrych50@gmail.com","7/20/15","286 2nd ST,Lynden,WA,98264","northwest","(360)731-1149",""
"bucca98@gmail.com","4/20/15","24546 Clinton ST,Staten Island,NY,10301","midatlantic","(718)553-3540",""
"agransbery@att.net","12/19/16","9531 Pearl Street,Chicago,IL,60657","midwest","(773)735-9808",""
"","","","","",""
"ingo34@att.net","1/23/16","3719 2nd ST,Cozad,NE,69130","midwest","(308)810-1434","1/10/16"
"elfego.bellmay@gmail.com","6/4/12","8971 Washington Avenue,Duluth,MN,55811","midwest","(218)848-2559",""
"ananias57@gmail.com","3/7/16","6854 Wall ST,Rio Grande City,TX,78582","southwest","(956)945-7502",""
"aziegel@outlook.com","12/7/16","136 Grove Street,Lincoln,NE,68521","midwest","(402)699-3656",""
"mattis57@hotmail.com","","","","",""
"kena.nordeck@comcast.net","1/7/15","6822 12th ST E,Columbus,OH,43229","midwest","(614)707-1458",""
"kareen.swartzer@hotmail.com","2/4/15","2655 Hamilton ST,Arnett,OK,73832","southwest","(580)291-4004",""
"anice95@aol.com","","","","",""
"","","","","",""
"ddopheide@att.net","1/30/14","9074 Creek Road,Milwaukee,WI,53228","midwest","(414)948-8917",""
"","","","","",""
"klara.wrage77@att.net","7/28/12","942 Lakeview Drive,New York,NY,10039","midatlantic","(917)229-4208",""
"marv.quart@comcast.net","2/1/16","76946 Beechwood Drive,Jasper,GA,30143","south","(678)300-5164",""
"hoan.walburn@gmail.com","","","","",""
"","","","","",""
"khai91@yahoo.com","4/15/13","9540 Main Street North,Rio Linda,CA,95673","west","(916)586-6115",""
"sallinger82@gmail.com","6/30/15","266 Ridge Avenue,Lyons,CO,80540","southwest","(303)479-4838",""
"klagosh@yahoo.com","8/5/16","3143 7th Avenue,Morgantown,WV,26501","south","(304)204-7911",""
"delouise68@yahoo.com","1/11/16","7137 Chestnut ST,Fort Scott,KS,66701","midwest","(913)647-9027",""
"emmit82@mac.com","2/10/10","7705 Columbia Street,Bay Shore,NY,11706","midatlantic","(631)587-3429",""
"edefriese@gmail.com","8/13/12","9413 Harrison ST,Warwick,RI,02886","northest","(401)880-3303",""
"mcswiney35@yahoo.com","","","","",""
"","","","","",""
"ecroysdale@yahoo.com","2/8/16","210 Cedar Lane,Elsie,MI,48831","midwest","(989)807-7787",""
"ronald77@aol.com","3/21/15","4550 Circle DR,Decatur,IL,62521","midwest","(217)559-4929",""
"curato26@gmail.com","10/7/16","9106 Valley View Drive,Fort Lauderdale,FL,33330","south","(954)947-7199",""
"albergotti64@yahoo.com","1/23/14","1559 Holly Drive,Greenville,NC,27858","south","(252)892-8120",""
"kiyoko.najdowski@att.net","9/7/15","34284 Mill ST,Gainesville,VA,20155","south","(703)559-2418",""
"kylie25@att.net","12/19/16","8406 Franklin Street,Allen,TX,75002","southwest","(214)807-1102",""
"triebold51@gmail.com","1/9/16","910 7th Street,Houston,TX,77083","southwest","(281)850-9512",""
"sajjad53@gmail.com","12/28/15","1176 Lilac Lane,Sterling,VA,20164","south","(703)219-1580",""
"spitze20@comcast.net","7/21/15","3040 Locust Lane,Saint Paul,MN,55104","midwest","(952)507-4732","9/15/15"
"lbutteris@yahoo.com","","","","",""
"phoermann62@gmail.com","2/6/13","926 Summit Avenue,Glen Burnie,MD,21061","midatlantic","(410)890-8101",""
"munir88@yahoo.com","5/12/14","7043 Mill Street,Lafayette,,70503","south","(337)368-3803",""
"cathleen95@yahoo.com","6/22/12","358 1st Street,Gothenburg,NE,69138","midwest","(308)394-4863",""
"daphine.kawash@att.net","11/18/13","482 Monroe Street,Pompano Beach,FL,33065","south","(754)840-7424",""
"","","","","",""
"harriet40@aol.com","7/25/16","860 Main ST S,Monroe,NY,10950","midatlantic","(845)900-2608",""
"prystash65@comcast.net","1/23/15","737 Lakeview DR,Rockville,MD,20853","midatlantic","(301)590-9168",""
"","","","","",""
"gearld65@att.net","11/9/15","456 Devon Road,Greensboro,NC,27405","south","(336)476-4590",""
"carvel.kualii96@gmail.com","3/3/14","722 Highland Avenue,Berlin,NH,03570","northest","(603)696-9982",""
"keri.mihill34@yahoo.com","9/14/15","696 6th Avenue,Richfield,OH,44286","midwest","(330)967-9846",""
"sherrs@att.net","1/3/14","577 Orange Street,Saint Paul,MN,55115","midwest","(952)891-2889",""
"rosalyn.mutua@aol.com","12/28/13","9408 Williams Street APT B,Silverthorne,CO,80498","southwest","(970)212-8355",""
"rmehari51@aol.com","8/23/16","10682 Church RD,Chester,PA,19013","midatlantic","(215)419-4944",""
"boshes65@att.net","9/29/14","723 Division Street,Chicago,IL,60640","midwest","(312)538-9806",""
"ilija.mandell@outlook.com","12/23/11","61994 Park Street,Coralville,IA,52241","midwest","(563)901-7676",""
"kinell90@yahoo.com","11/17/16","5016 4th Street,Phoenix,AZ,85040","southwest","(480)574-3506",""
"vucurevich51@yahoo.com","2/21/12","4067 Primrose Lane,Sunrise Beach,MO,65079","midwest","(573)303-6994",""
"tula94@gmail.com","12/17/11","8597 Lincoln AVE,Jacksonville,FL,32246","south","(904)694-3211",""
"awallus67@comcast.net","8/12/15","2540 Lincoln Street,Manasquan,NJ,08736","midatlantic","(732)998-4552",""
"","","","","",""
"jermey37@gmail.com","12/21/15","7534 Walnut AVE,Galveston,TX,77551","southwest","(409)534-8974",""
"jyotsna.falek@aol.com","","","","",""
"nicolasa.rooth@gmail.com","8/15/13","126 Hickory Lane,Joplin,,64801","midwest","(417)796-2025",""
"aque45@aol.com","7/2/13","4314 Central Avenue,Alexandria,VA,22312","south","(703)838-9284",""
"kdeconinck@hotmail.com","10/3/12","1949 Cambridge Drive,Saint Augustine,FL,32084","south","(904)715-1484",""
"artur66@att.net","","","","",""
"fornaciari46@gmail.com","12/2/13","2161 3rd Street West,Millsboro,DE,19966","midatlantic","(302)499-5635",""
"ckrasnopolsky28@outlook.com","8/9/13","5364 Essex Court,London,KY,40741","south","(606)835-5348",""
"hadi23@gmail.com","","","","",""
"civale51@gmail.com","8/11/14","7061 Broadway,Old Bridge,NJ,08857","midatlantic","(732)392-8126","3/26/15"
"brinkmann77@aol.com","7/15/13","12270 Walnut AVE,Jersey City,NJ,07307","midatlantic","(201)920-4041",""
"neven.devenuta40@yahoo.com","8/11/16","3036 Surrey Lane,Saint Paul,MN,55104","midwest","(952)735-4745",""
"oretha.beun38@att.net","3/30/16","1136 Court Street,Weirsdale,FL,32195","south","(352)542-2623",""
"rashford54@gmail.com","9/15/14","3398 Spruce Street,Fairfield,CA,94533","west","(707)206-6493",""
"walterine.kalla@mac.com","8/5/13","266 Grant Avenue,Howell,MI,48843","midwest","(517)998-2830",""
"dlemunyon@gmail.com","10/30/16","9078 Main ST S,Jackson,CA,95642","west","(209)756-1192",""
"palesch19@aol.com","3/24/15","2101 Mill Road,Hattiesburg,MS,39402","south","(601)346-8325",""
"elwanda.serrano@gmail.com","1/13/14","184 4th Street North,Buford,GA,30518","south","(678)466-6995","8/4/14"
"leszek56@gmail.com","11/30/15","4987 Railroad AVE,Pendleton,IN,46064","midwest","(317)402-6199",""
"kaci18@yahoo.com","","","","",""
"charmain.barbone@gmail.com","1/9/16","898 Warren Street,Brooklyn,NY,11235","midatlantic","(718)418-4602",""
"rosana98@gmail.com","8/31/16","9928 Court Street,Amarillo,TX,79118","southwest","(806)749-2734",""
"bylo68@att.net","12/18/12","63407 Locust Lane,Bellaire,MI,49615","midwest","(231)846-6874",""
"milda.diceglie@yahoo.com","5/18/13","2641 Orange Street,Niles,IL,60714","midwest","(773)712-2421",""
"jearline.zellous@gmail.com","5/16/14","3216 Water ST,Philadelphia,PA,19115","midatlantic","(267)449-4000",""
"dpeteet42@gmail.com","","","","",""
"cassaundra.utsman@gmail.com","3/25/14","1332 School Street,Minot,ND,58703","midwest","(701)689-1798",""
"nviehmeyer35@gmail.com","8/26/14","7829 Pennsylvania Avenue,Bronx,NY,10462","midatlantic","(347)915-2675",""
"sharol75@att.net","9/7/15","8239 4th ST N,Citrus Heights,CA,95610","west","(530)814-6966",""
"vpoulose@yahoo.com","7/25/16","9483 Summit Avenue,Evansville,IN,47725","midwest","(812)586-9221",""
"mchertow@yahoo.com","9/8/15","4743 Grant ST,Port Angeles,WA,98362","northwest","(360)778-8620",""
"bonifacio50@att.net","8/9/14","2946 5th Street North,Hillsborough,NJ,08844","midatlantic","(908)586-9953",""
"trala87@yahoo.com","7/29/14","9608 Creek RD,Jenkins,KY,41537","south","(606)809-6763",""
"shalini34@att.net","12/13/13","2867 Franklin ST APT C,Eagle Lake,ME,04739","northest","(207)796-7284",""
"argelia.setlak42@att.net","4/23/13","3312 9th Street,Rhineland,MO,65069","midwest","(573)416-4127",""
"orvin.belden@mac.com","9/10/12","904 Main Street South,Frankfort,KY,40601","south","(502)915-2890",""
"yuki99@att.net","2/5/16","38349 Valley Road,Lees Summit,MO,64081","midwest","(816)707-7124",""
"","","","","",""
"velvet51@att.net","8/8/11","9034 West ST,Cypress,TX,77433","southwest","(281)599-2677",""
"hedwig85@gmail.com","6/16/16","5882 8th Street,Pearl City,HI,96782","west","(808)380-2001","4/9/16"
"javon42@gmail.com","9/22/12","754 Pine Street,Carlsbad,CA,92009","west","(760)809-3793",""
"cooper.schmedes@gmail.com","4/7/14","58967 Glenwood Avenue,Chagrin Falls,OH,44022","midwest","(440)713-5960",""
"sreeves52@mac.com","12/4/13","32095 Bank Street,Clearwater,FL,33764","south","(813)663-9391",""
"artin26@mac.com","12/13/14","5801 Cedar Lane,Denver,CO,80203","southwest","(720)343-8692",""
"vinh78@gmail.com","8/9/12","5673 2nd Street West,Rio Linda,,95673","west","(916)706-8656",""
"gmarquez@yahoo.com","2/18/15","847 Highland AVE,Street,MD,21154","midatlantic","(410)567-8161",""
"chantal.giarmo@mac.com","3/8/14","690 Fairway Drive,Elk River,MN,55330","midwest","(612)913-7946","6/24/15"
"otilio.elms66@gmail.com","","","","",""
"india63@hotmail.com","9/14/16","4705 5th ST,Cedar Knolls,NJ,07927","midatlantic","(908)218-5385",""
"akammer@comcast.net","","","","",""
"myrle70@hotmail.com","10/1/12","34440 Pennsylvania Avenue,Batavia,OH,45103","midwest","(513)990-9355",""
"salomons70@yahoo.com","6/26/12","7787 Essex Court,Higganum,CT,06441","northest","(860)674-2385",""
"polikoff22@hotmail.com","8/17/15","77557 Durham Road,Portsmouth,VA,23703","south","(757)482-2800",""
"donny.sunwoo@yahoo.com","2/17/14","1010 Charles Street,Ossian,,46777","midwest","(260)433-6211","10/13/15"
"ermelinda79@att.net","8/7/15","2739 3rd ST N,Sterling,VA,20165","south","(703)807-4384",""
"antranik99@hotmail.com","9/16/11","51166 9th Street,Cocoa,FL,32927","south","(321)872-6239",""
"nalin73@comcast.net","1/5/16","456 Highland AVE,Houston,TX,77083","southwest","(713)540-8747",""
"omelchenko76@gmail.com","2/1/11","6197 5th ST S,San Antonio,TX,78221","southwest","(210)463-9546",""
"gaspare30@aol.com","10/4/15","693 Clinton Street,Middletown,CT,06457","northest","(860)276-5025",""
"bsutley@hotmail.com","7/26/14","69227 Forest DR,Fort Worth,TX,76116","southwest","(214)717-8662",""
"wollins40@att.net","1/31/15","6418 5th Street,Barkhamsted,CT,06063","northest","(860)908-5230",""
"idamae.ratai@yahoo.com","10/5/16","681 Franklin Avenue,Mount Pleasant,PA,15666","midatlantic","(724)460-2178",""
"herculano.olandese91@gmail.com","2/14/15","804 Clinton Street,Hampton,VA,23669","south","(757)520-7081",""
"neida22@aol.com","9/13/14","821 Virginia Avenue,Clinton,IA,52732","midwest","(563)365-2990",""
"gandin22@gmail.com","7/20/15","158 Cedar Lane,Everett,WA,98204","northwest","(425)964-5981",""
"leveling27@gmail.com","10/11/12","4897 Woodland Drive,Murfreesboro,NC,27855","south","(252)702-4069",""
"thomasina.sitgraves@comcast.net","7/12/11","5190 Mulberry Street,Virginia Beach,VA,23455","south","(757)568-9501","6/28/15"
"hurme24@hotmail.com","2/24/14","7758 Wall Street,Rockford,,61114","midwest","(815)621-9453",""
"gorrasi34@hotmail.com","12/20/14","668 Charles ST,Nacogdoches,TX,75964","southwest","(936)863-7101",""
"samer.croak@att.net","4/27/15","6429 Main ST S,Columbus,OH,43213","midwest","(614)652-2777","7/10/15"
"halil.gladnick@gmail.com","7/12/13","2918 3rd Street West,Orlando,FL,32811","south","(407)450-7452",""
"jraikar@gmail.com","1/5/16","4202 Main Street North,Memphis,TN,38114","south","(901)691-3472",""
"erasmo81@yahoo.com","1/20/14","322 12th Street,Yonkers,NY,10704","midatlantic","(914)544-2041",""
"lucrecia65@gmail.com","","","","",""
"aleyamma.gromko@comcast.net","10/8/13","4444 Broad ST,Commerce City,CO,80022","southwest","(720)296-8865",""
"minna95@aol.com","6/18/15","8407 Jefferson Avenue,Stevensville,MI,49127","midwest","(269)344-2664",""
"","","","","",""
"jeramy.sherby91@att.net","8/23/14","850 West ST,Staten Island,NY,10301","midatlantic","(718)619-9520",""
"juaquin21@gmail.com","9/2/14","130 5th Avenue,Harlingen,TX,78550","southwest","(956)245-4635",""
"shelba29@gmail.com","","","","",""
"bridget61@gmail.com","3/25/14","6925 Magnolia AVE,Star City,AR,71667","south","(870)432-4073",""
"jakob55@gmail.com","2/11/14","1517 7th Street East,Brady,TX,76825","southwest","(325)948-1229",""
"broughten20@gmail.com","8/9/14","4222 East ST,Kenmore,WA,98028","northwest","(425)715-4718",""
"eduha@comcast.net","8/4/14","4369 6th ST W,Greenwood,SC,29646","south","(864)331-2046",""
"kerin.hopson@hotmail.com","1/2/16","116 Jefferson AVE,Wichita,KS,67213","midwest","(316)242-2030",""
"berdugo88@att.net","10/25/16","5549 12th Street East,Los Angeles,CA,90026","west","(818)799-4433",""
"wilman97@outlook.com","4/4/16","637 River Street,Green Valley,AZ,85614","southwest","(520)944-9236","1/8/16"
"vellotti93@att.net","2/1/14","6537 Virginia Avenue,Sugar Grove,IL,60554","midwest","(630)617-6452",""
"rwenman@hotmail.com","12/14/13","448 Mill Street,Huntington Beach,CA,92649","west","(562)483-9508","1/7/15"
"razmik.hartigan@outlook.com","4/23/16","4533 Arch ST,Christiansburg,VA,24073","south","(540)745-9907","3/6/16"
"natalie73@gmail.com","5/27/14","681 King Street,Pinson,AL,35126","south","(205)860-1930",""
"eliza.klinowski@hotmail.com","10/6/12","42880 3rd Street West,Del Mar,CA,92014","west","(619)758-8821",""
"janeen.bosar31@hotmail.com","12/21/15","6038 5th ST S,Williamsburg,KY,40769","south","(606)461-4571",""
"blenda.hummingbird@att.net","2/13/12","41907 12th Street East,Huntsville,AL,35806","south","(256)962-6557",""
"frank93@att.net","1/20/10","9479 Willow Street,Hayward,CA,94544","west","(925)233-6318",""
"shary81@gmail.com","3/2/16","451 George Street,Brea,CA,92821","west","(562)657-5839",""
"wolniakowski40@hotmail.com","9/13/16","4699 Division ST,Dalzell,SC,29040","south","(803)464-2620",""
"","","","","",""
"glennis96@outlook.com","9/13/14","956 Ridge AVE,Burleson,TX,76028","southwest","(713)455-8987",""
"hemmert81@att.net","7/17/14","3020 Maple Avenue,Thomasville,GA,31757","south","(229)260-1654",""
"","","","","",""
"hprater38@gmail.com","11/12/14","9469 West Street,Edmond,OK,73013","southwest","(405)931-6924",""
"bernardita.marquise@gmail.com","2/6/15","9060 Colonial Avenue,Hazlehurst,MS,39083","south","(601)484-2375",""
"dailts@gmail.com","2/20/12","532 William Street,Clinton,SC,29325","south","(864)503-4383",""
"masako75@yahoo.com","7/9/14","3579 Laurel Lane,Sewell,NJ,08080","midatlantic","(856)894-9854","12/26/14"
"cciurlino66@yahoo.com","10/16/12","493 Grove Street,Zanesville,OH,43701","midwest","(740)503-3383",""
"bocegueda71@mac.com","8/4/12","6746 Academy Street,Newville,PA,17241","midatlantic","(717)731-9387",""
"keshia.lloyd-jones72@hotmail.com","6/27/14","179 Creek RD,Oroville,CA,95965","west","(916)615-6245",""
"milsten36@gmail.com","2/20/12","7211 Oxford Court,Omaha,NE,68157","midwest","(402)976-1921",""
"fedynich29@aol.com","4/5/16","9627 Woodland Avenue,Newark,,94560","west","(408)587-8406",""
"parmiter28@gmail.com","12/14/14","98950 Clinton Street,Ridgewood,NY,11385","midatlantic","(917)801-5846",""
"tcasa@att.net","2/28/15","6664 John Street,Granville,,43023","midwest","(740)692-2610",""
"rgual54@yahoo.com","10/17/10","593 Wall Street,Black River Falls,WI,54615","midwest","(715)308-9850","12/19/14"
"breann.estlund@hotmail.com","","","","",""
"lbadeen@att.net","4/25/11","7902 6th Avenue APT A,Canyon Country,CA,91351","west","(805)577-5341",""
"minda18@att.net","12/19/14","669 Railroad Avenue,Costa Mesa,CA,92627","west","(714)355-6947",""
"anonemaker44@yahoo.com","2/28/14","911 Clark ST,Society Hill,SC,29593","south","(843)798-1044",""
"jstockler@aol.com","2/8/16","1455 Hillside AVE,Denver,CO,80223","southwest","(303)229-9042",""
"edvin.hastilow@gmail.com","12/21/15","49790 Jackson Street,Bedminster,NJ,07921","midatlantic","(908)833-1664","12/27/15"
"toshihiro.cotier58@comcast.net","2/5/14","476 State Street,Staten Island,NY,10312","midatlantic","(917)834-1051",""
"runger58@outlook.com","4/29/16","2847 James ST,Saint Louis,MO,63110","midwest","(314)643-2605",""
"gitomer18@gmail.com","7/30/12","713 Green Street,Center,TX,75935","southwest","(409)492-5323",""
"craig.flowerree@gmail.com","8/24/15","5852 Broad Street,Caruthersville,MO,63830","midwest","(573)724-5922",""
"ttrapletti96@aol.com","9/29/15","4302 Oxford Court,Hempstead,NY,11550","midatlantic","(718)898-7889",""
"leanora.kocic@aol.com","7/2/16","166 1st Avenue,Hamburg,NY,14075","midatlantic","(718)784-7557",""
"derick.hulse93@outlook.com","2/27/15","3049 6th ST W,Elmhurst,NY,11373","midatlantic","(917)914-3777",""
"gaylynn80@gmail.com","1/8/15","7613 Delaware Avenue,Warren,MI,48092","midwest","(810)588-2341",""
"trissolo@yahoo.com","10/10/15","869 4th Avenue,El Cajon,CA,92020","west","(619)515-6558",""
"bastida21@att.net","9/5/15","809 Ridge RD,Bayside,NY,11360","midatlantic","(347)595-7215",""
"mdeliere77@att.net","","","","",""
"flemer23@yahoo.com","3/11/16","531 5th Street North,Kyle,TX,78640","southwest","(361)920-8555",""
"loras.naill@gmail.com","4/10/10","4844 Broad ST,Windsor,CT,06095","northest","(860)233-9228",""
"genene.granada@comcast.net","9/11/13","3573 Main Street West,Newark,DE,19702","midatlantic","(302)932-1107",""
"roland86@att.net","2/10/15","1713 Woodland Avenue,Ocala,FL,34475","south","(352)444-3033",""
"vipperman90@att.net","9/29/12","5752 Riverside Drive,Perkasie,PA,18944","midatlantic","(267)594-9398",""
"laurimore84@yahoo.com","8/22/16","2513 2nd Street East APT B,Fort Worth,TX,76107","southwest","(682)281-6791",""
"suman.mough19@yahoo.com","8/20/13","223 Linden ST,Grand Rapids,MI,49508","midwest","(616)796-8275",""
"shotsberger95@gmail.com","8/29/16","823 North ST,New Smyrna Beach,FL,32168","south","(386)795-6819",""
"ofer.haimson74@mac.com","7/21/16","88271 Hickory Lane,Los Angeles,CA,90028","west","(818)506-2466",""
"verle64@aol.com","12/20/16","7442 Clark Street,Henrico,VA,23231","south","(804)855-9662",""
"ichiro48@aol.com","12/6/14","4501 Dogwood Drive,Huntington Beach,CA,92647","west","(949)467-1383",""
"israel70@yahoo.com","4/27/15","603 Central Avenue,Hopewell,VA,23860","south","(804)272-4049",""
"orestes.metschke@att.net","3/2/15","2709 George Street,Hollywood,MD,20636","midatlantic","(301)277-1303",""
"drennon47@yahoo.com","8/26/15","68263 William Street APT C,Las Vegas,NV,89103","west","(702)992-9919",""
"donell.auber@mac.com","7/13/13","6876 Creek Road,El Paso,TX,79932","southwest","(915)824-9048",""
"wynetta91@gmail.com","9/28/16","8797 Clark Street,North Canton,OH,44720","midwest","(234)698-4096",""
"","","","","",""
"dsharratt@yahoo.com","10/25/11","812 13th Street,Forsyth,GA,31029","south","(478)899-1347","1/1/13"
"","","","","",""
"kknapstad@hotmail.com","","","","",""
"romy.yousif78@gmail.com","10/24/15","6293 Holly Drive,Norfolk,NE,68701","midwest","(402)750-4081",""
"mischelle29@gmail.com","6/25/12","380 State ST,Hammond,LA,70403","south","(225)467-8948",""
"ida.canavin@att.net","","","","",""
"yefim.trone@aol.com","5/6/13","3011 Jefferson Avenue,Saint Petersburg,FL,33704","south","(727)984-5271",""
"bryan77@gmail.com","3/21/14","865 South ST,Battle Lake,MN,56515","midwest","(218)726-7665",""
"justin58@yahoo.com","8/24/12","733 5th Avenue,Syracuse,UT,84075","southwest","(801)353-6321",""
"claudis56@comcast.net","12/18/15","5055 Clinton Street,Latrobe,PA,15650","midatlantic","(724)825-6726",""
"shcherbakov24@gmail.com","9/14/13","119 Magnolia AVE,Dayton,NV,89403","west","(775)463-9100",""
"kouyoumdjian98@hotmail.com","2/10/14","9127 Madison Avenue,Wapakoneta,OH,45895","midwest","(937)981-2102",""
"rowenhorst60@gmail.com","11/29/13","6038 Henry Street,Fayetteville,NC,28314","south","(910)977-6537",""
"kriegbaum46@att.net","","","","",""
"yusuf.hildick@mac.com","7/8/13","644 3rd Avenue,Winchester,VA,22601","south","(540)397-7188",""
"","","","","",""
"belia82@yahoo.com","1/29/16","7540 North Street,Montevideo,MN,56265","midwest","(320)237-1110",""
"chaya49@gmail.com","2/4/16","6403 Railroad Street,Davenport,IA,52803","midwest","(563)672-3371",""
"cardosi78@hotmail.com","1/17/12","955 School Street,Hummelstown,PA,17036","midatlantic","(717)295-1093","1/6/13"
"lizeth20@yahoo.com","8/1/16","499 3rd Street North,East Elmhurst,NY,11369","midatlantic","(718)573-1328",""
"elda.chabotte@gmail.com","3/13/12","9301 Meadow Lane,Buffalo,NY,14208","midatlantic","(716)870-7342",""
"marika82@aol.com","10/12/13","6185 Lakeview DR,Falls Church,VA,22046","south","(703)391-9477",""
"carrol83@att.net","9/13/13","2818 York RD,Los Angeles,CA,90045","west","(323)602-6017",""
"gsteadmon@yahoo.com","2/22/13","894 Canterbury Court,Tucson,,85737","southwest","(520)894-6413",""
"rollen22@hotmail.com","7/25/14","118 Oak Street,Springfield,OR,97478","northwest","(541)549-7430",""
"gange70@yahoo.com","12/14/11","770 Jackson ST,Mercedes,TX,78570","southwest","(956)537-8887","8/10/13"
"sharan51@att.net","10/13/14","2469 School Street,Rancho Santa Margarita,CA,92688","west","(949)553-6684",""
"","","","","",""
"kimie.poteet@comcast.net","9/18/15","446 Broadway,Eau Claire,WI,54703","midwest","(715)428-6662",""
"handelong20@outlook.com","6/17/13","6279 Ridge Road,Fort Mill,SC,29707","south","(803)790-8087",""
"inetta67@gmail.com","4/30/16","682 Myrtle Avenue,Mission Viejo,CA,92692","west","(714)638-4244",""
"ludivina87@gmail.com","2/23/12","853 Front Street,Fairfax,VA,22031","south","(202)932-8712",""
"marielle23@gmail.com","8/27/10","29309 Heather Lane,Chicago,IL,60657","midwest","(312)509-6064",""
"audie.dominion@att.net","2/13/13","1212 Park Place,Winchester,KY,40391","south","(859)260-8615",""
"kusum.doehrmann@gmail.com","8/12/13","508 Green Street,Elmont,NY,11003","midatlantic","(718)534-4798","2/21/15"
"afshin.weierman21@mac.com","4/1/14","2893 Broad Street,Brooklyn,NY,11211","midatlantic","(917)368-3949",""
"santa.roggen@att.net","11/10/15","2230 Canal Street,Merced,CA,95340","west","(209)710-8510",""
"gaggiano97@att.net","3/22/12","1164 6th Street West,Miami,FL,33176","south","(305)999-6576",""
"baltasar49@hotmail.com","1/27/14","978 West Street,Attleboro,MA,02703","northest","(774)346-9013",""
"ezzard.learner@att.net","10/8/16","4738 3rd ST,Manteca,CA,95336","west","(209)609-8025",""
"muckleroy40@att.net","8/6/16","3628 8th Street,Clayton,NC,27520","south","(919)285-3111",""
"primitivo98@yahoo.com","10/27/12","972 Oak Avenue,Overland Park,KS,66221","midwest","(913)990-5814",""
"prudencio.stiehler@mac.com","2/9/15","9628 Valley View Drive,Salem,OR,97301","northwest","(503)726-1329",""
"piro66@gmail.com","9/2/13","9133 Mechanic Street,Lawton,OK,73501","southwest","(580)368-5878",""
"sonia54@att.net","","","","",""
"lorri.varns@yahoo.com","9/14/16","8562 Oak Lane,Gonzales,,70737","south","(225)279-1207",""
"jerline17@outlook.com","6/18/16","3429 Jackson ST,New Bedford,MA,02745","northest","(508)745-4100",""
"josefa18@gmail.com","12/19/15","6118 Oak Street,London,KY,40744","south","(606)557-2346",""
"aristeo.mussman@hotmail.com","9/1/15","3387 Heather Lane,Stockton,CA,95204","west","(209)550-4787",""
"ochsendorf19@att.net","7/14/14","6978 Creek RD,Bell Gardens,CA,90201","west","(323)309-9511",""
"dgodek46@outlook.com","","","","",""
"vilma.winterton75@yahoo.com","10/8/12","621 Central Avenue,Homestead,FL,33034","south","(786)778-8715",""
"kaci.tutka@aol.com","8/13/16","465 12th ST,Rockledge,FL,32955","south","(321)272-6509",""
"drenda.korrey67@hotmail.com","4/18/14","6460 5th ST,Lincoln,NE,68516","midwest","(402)698-4731",""
"tannreuther40@att.net","12/24/11","833 Woodland Drive,Santa Maria,CA,93455","west","(805)781-2746",""
"marleen67@yahoo.com","","","","",""
"giacobbi47@att.net","7/19/16","138 Railroad Avenue,Suffern,NY,10901","midatlantic","(914)895-8351",""
"mylene19@gmail.com","1/23/16","99619 Walnut ST,Fort Wayne,IN,46803","midwest","(260)639-6200",""
"cyndee34@hotmail.com","4/25/16","965 Hillside Avenue APT C,Hazel Crest,IL,60429","midwest","(708)828-2436",""
"wuestenberg88@gmail.com","11/6/14","95752 Grant Avenue,Glen Allen,VA,23059","south","(804)717-4638",""
"","","","","",""
"rehana79@yahoo.com","6/3/16","210 Hickory Lane,Franklin,NC,28734","south","(828)789-9223",""
"","","","","",""
"gae.konyk83@gmail.com","10/3/16","7760 Washington ST,West Mifflin,PA,15122","midatlantic","(412)588-2437",""
"sergei.condrey@aol.com","1/27/16","9134 Bridge ST,Corning,CA,96021","west","(530)397-4877",""
"graciela.camizzi@yahoo.com","2/1/16","596 Pine Street,Hawley,MN,56549","midwest","(218)762-9150",""
"gaetan.conat28@mac.com","1/27/15","426 Valley View Drive,Indianapolis,IN,46236","midwest","(765)670-2934",""
"susumu.balan@hotmail.com","8/12/16","7545 2nd Street,Harrah,OK,73045","southwest","(405)319-2726",""
"kirsten17@gmail.com","3/3/14","4889 Surrey Lane,Austin,TX,78723","southwest","(512)399-5396",""
"egregurich@gmail.com","3/20/12","113 Primrose Lane,New Lenox,IL,60451","midwest","(815)853-5802",""
"","","","","",""
